시군명,사고년도,사고유형구분,다발지식별자,다발지역그룹식별자,법정동코드,위치코드,시도시군구명,사고지역위치명,발생건수,사상자수,사망자수,중상자수,경상자수,부상자수,위도,경도,사고다발지역폴리곤정보
동두천시,2021,보행노인사고다발지,6780518,2022042,4125010300,41250001,경기도 동두천시1,경기도 동두천시 생연동(큰시장사거리 부근),5,5,0,5,0,0,37.90020302,127.0522451,"{""type"":""Polygon"",""coordinates"":[[[127.05314338,37.90020302],[127.05312612,37.90006474],[127.053075,37.89993176],[127.05299199,37.89980921],[127.05288027,37.89970179],[127.05274414,37.89961364],[127.05258884,37.89954813],[127.05242032,37.8995078],[127.05224507,37.89949418],[127.05206981,37.8995078],[127.0519013,37.89954813],[127.05174599,37.89961364],[127.05160986,37.89970179],[127.05149814,37.89980921],[127.05141513,37.89993176],[127.05136401,37.90006474],[127.05134675,37.90020302],[127.05136401,37.90034131],[127.05141513,37.90047429],[127.05149814,37.90059684],[127.05160986,37.90070425],[127.05174599,37.9007924],[127.0519013,37.90085791],[127.05206981,37.90089825],[127.05224507,37.90091187],[127.05242032,37.90089825],[127.05258884,37.90085791],[127.05274414,37.9007924],[127.05288027,37.90070425],[127.05299199,37.90059684],[127.053075,37.90047429],[127.05312612,37.90034131],[127.05314338,37.90020302]]]}"
동두천시,2021,자전거사고다발지,6807126,2022083,4125010300,41250001,경기도 동두천시1,경기도 동두천시 생연동(생골사거리 부근),5,5,0,2,3,0,37.89934223,127.0575559,"{""type"":""Polygon"",""coordinates"":[[[127.05935256,37.89934223],[127.05931804,37.89906565],[127.0592158,37.8987997],[127.05904978,37.89855459],[127.05882634,37.89833976],[127.05855409,37.89816344],[127.05824347,37.89803243],[127.05790644,37.89795175],[127.05755593,37.89792451],[127.05720543,37.89795175],[127.05686839,37.89803243],[127.05655778,37.89816344],[127.05628552,37.89833976],[127.05606209,37.89855459],[127.05589606,37.8987997],[127.05579382,37.89906565],[127.0557593,37.89934223],[127.05579382,37.89961881],[127.05589606,37.89988476],[127.05606209,37.90012986],[127.05628552,37.90034469],[127.05655778,37.900521],[127.05686839,37.90065201],[127.05720543,37.90073268],[127.05755593,37.90075992],[127.05790644,37.90073268],[127.05824347,37.90065201],[127.05855409,37.900521],[127.05882634,37.90034469],[127.05904978,37.90012986],[127.0592158,37.89988476],[127.05931804,37.89961881],[127.05935256,37.89934223]]]}"
동두천시,2020,자전거사고다발지,6689615,2021028,4125010200,41250001,경기도 동두천시1,경기도 동두천시 지행동(크라운732입구 부근),7,7,0,4,2,1,37.89249374,127.053298,"{""type"":""Polygon"",""coordinates"":[[[127.05509468,37.89249374],[127.05506016,37.89221714],[127.05495792,37.89195116],[127.05479189,37.89170603],[127.05456846,37.89149118],[127.0542962,37.89131485],[127.05398559,37.89118382],[127.05364855,37.89110314],[127.05329805,37.89107589],[127.05294754,37.89110314],[127.05261051,37.89118382],[127.05229989,37.89131485],[127.05202764,37.89149118],[127.0518042,37.89170603],[127.05163818,37.89195116],[127.05153594,37.89221714],[127.05150142,37.89249374],[127.05153594,37.89277035],[127.05163818,37.89303633],[127.0518042,37.89328145],[127.05202764,37.8934963],[127.05229989,37.89367262],[127.05261051,37.89380364],[127.05294754,37.89388433],[127.05329805,37.89391157],[127.05364855,37.89388433],[127.05398559,37.89380364],[127.0542962,37.89367262],[127.05456846,37.8934963],[127.05479189,37.89328145],[127.05495792,37.89303633],[127.05506016,37.89277035],[127.05509468,37.89249374]]]}"
동두천시,2019,보행노인사고다발지,6608296,2020027,4125010300,41250001,경기도 동두천시1,경기도 동두천시 생연동(세아오거리 부근),6,6,0,4,2,0,37.90018954,127.0508347,"{""type"":""Polygon"",""coordinates"":[[[127.05263136,37.90018954],[127.05259683,37.89991296],[127.05249459,37.89964701],[127.05232857,37.89940191],[127.05210513,37.89918707],[127.05183288,37.89901076],[127.05152227,37.89887975],[127.05118523,37.89879908],[127.05083472,37.89877184],[127.05048422,37.89879908],[127.05014718,37.89887975],[127.04983657,37.89901076],[127.04956431,37.89918707],[127.04934088,37.89940191],[127.04917485,37.89964701],[127.04907262,37.89991296],[127.04903809,37.90018954],[127.04907262,37.90046612],[127.04917485,37.90073206],[127.04934088,37.90097716],[127.04956431,37.90119199],[127.04983657,37.9013683],[127.05014718,37.9014993],[127.05048422,37.90157997],[127.05083472,37.90160721],[127.05118523,37.90157997],[127.05152227,37.9014993],[127.05183288,37.9013683],[127.05210513,37.90119199],[127.05232857,37.90097716],[127.05249459,37.90073206],[127.05259683,37.90046612],[127.05263136,37.90018954]]]}"
동두천시,2018,보행노인사고다발지,6506768,2019036,4125010300,41250001,경기도 동두천시1,경기도 동두천시 생연동(어수사거리 부근),5,5,0,4,1,0,37.90154934,127.0528966,"{""type"":""Polygon"",""coordinates"":[[[127.05469327,37.90154934],[127.05465874,37.90127276],[127.05455651,37.90100682],[127.05439048,37.90076172],[127.05416705,37.90054689],[127.05389479,37.90037058],[127.05358418,37.90023958],[127.05324714,37.9001589],[127.05289664,37.90013166],[127.05254613,37.9001589],[127.0522091,37.90023958],[127.05189848,37.90037058],[127.05162623,37.90054689],[127.05140279,37.90076172],[127.05123677,37.90100682],[127.05113453,37.90127276],[127.05110001,37.90154934],[127.05113453,37.90182591],[127.05123677,37.90209185],[127.05140279,37.90233694],[127.05162623,37.90255177],[127.05189848,37.90272807],[127.0522091,37.90285907],[127.05254613,37.90293975],[127.05289664,37.90296699],[127.05324714,37.90293975],[127.05358418,37.90285907],[127.05389479,37.90272807],[127.05416705,37.90255177],[127.05439048,37.90233694],[127.05455651,37.90209185],[127.05465874,37.90182591],[127.05469327,37.90154934]]]}"
동두천시,2018,보행노인사고다발지,6506523,2019036,4125010200,41250002,경기도 동두천시2,경기도 동두천시 지행동(동두천시평생교육원 부근),3,4,1,3,0,0,37.89133432,127.0544028,"{""type"":""Polygon"",""coordinates"":[[[127.05619942,37.89133432],[127.0561649,37.8910577],[127.05606266,37.89079172],[127.05589664,37.89054659],[127.0556732,37.89033173],[127.05540095,37.8901554],[127.05509033,37.89002437],[127.0547533,37.88994369],[127.05440279,37.88991644],[127.05405229,37.88994369],[127.05371525,37.89002437],[127.05340464,37.8901554],[127.05313238,37.89033173],[127.05290895,37.89054659],[127.05274292,37.89079172],[127.05264068,37.8910577],[127.05260616,37.89133432],[127.05264068,37.89161093],[127.05274292,37.89187691],[127.05290895,37.89212203],[127.05313238,37.89233689],[127.05340464,37.89251321],[127.05371525,37.89264424],[127.05405229,37.89272492],[127.05440279,37.89275216],[127.0547533,37.89272492],[127.05509033,37.89264424],[127.05540095,37.89251321],[127.0556732,37.89233689],[127.05589664,37.89212203],[127.05606266,37.89187691],[127.0561649,37.89161093],[127.05619942,37.89133432]]]}"
동두천시,2017,무단횡단사고다발지,6429776,2018045,4125010200,280841001,경기 동두천1,경기도 동두천시 지행동(본죽 동두천점 부근),4,4,0,1,3,0,37.89248931,127.0524517,"{""type"":""Polygon"",""coordinates"":[[[127.05514667,37.89248931],[127.05509489,37.8920744],[127.05494153,37.89167543],[127.05469249,37.89130773],[127.05435734,37.89098545],[127.05394896,37.89072095],[127.05348304,37.89052441],[127.05297748,37.89040339],[127.05245173,37.89036252],[127.05192597,37.89040339],[127.05142042,37.89052441],[127.05095449,37.89072095],[127.05054611,37.89098545],[127.05021096,37.89130773],[127.04996192,37.89167543],[127.04980856,37.8920744],[127.04975678,37.89248931],[127.04980856,37.89290421],[127.04996192,37.89330318],[127.05021096,37.89367086],[127.05054611,37.89399313],[127.05095449,37.89425762],[127.05142042,37.89445415],[127.05192597,37.89457517],[127.05245173,37.89461603],[127.05297748,37.89457517],[127.05348304,37.89445415],[127.05394896,37.89425762],[127.05435734,37.89399313],[127.05469249,37.89367086],[127.05494153,37.89330318],[127.05509489,37.89290421],[127.05514667,37.89248931]]]}"
동두천시,2017,보행노인사고다발지,6397821,2018029,4125010300,41250002,경기도 동두천시2,경기도 동두천시 생연동(유림사거리 부근),3,3,0,3,0,0,37.90080241,127.0579742,"{""type"":""Polygon"",""coordinates"":[[[127.0597708,37.90080241],[127.05973628,37.90052584],[127.05963404,37.90025989],[127.05946802,37.90001479],[127.05924458,37.89979996],[127.05897233,37.89962365],[127.05866171,37.89949264],[127.05832468,37.89941196],[127.05797417,37.89938472],[127.05762367,37.89941196],[127.05728663,37.89949264],[127.05697602,37.89962365],[127.05670376,37.89979996],[127.05648033,37.90001479],[127.0563143,37.90025989],[127.05621206,37.90052584],[127.05617754,37.90080241],[127.05621206,37.90107899],[127.0563143,37.90134493],[127.05648033,37.90159003],[127.05670376,37.90180485],[127.05697602,37.90198116],[127.05728663,37.90211216],[127.05762367,37.90219283],[127.05797417,37.90222007],[127.05832468,37.90219283],[127.05866171,37.90211216],[127.05897233,37.90198116],[127.05924458,37.90180485],[127.05946802,37.90159003],[127.05963404,37.90134493],[127.05973628,37.90107899],[127.0597708,37.90080241]]]}"
동두천시,2017,보행노인사고다발지,6397557,2018029,4125010300,41250001,경기도 동두천시1,경기도 동두천시 생연동(큰시장회전교차로 부근),5,5,0,4,0,1,37.90040476,127.0529149,"{""type"":""Polygon"",""coordinates"":[[[127.05471157,37.90040476],[127.05467704,37.90012818],[127.0545748,37.89986223],[127.05440878,37.89961713],[127.05418534,37.8994023],[127.05391309,37.89922599],[127.05360248,37.89909498],[127.05326544,37.8990143],[127.05291493,37.89898706],[127.05256443,37.8990143],[127.05222739,37.89909498],[127.05191678,37.89922599],[127.05164452,37.8994023],[127.05142109,37.89961713],[127.05125506,37.89986223],[127.05115283,37.90012818],[127.0511183,37.90040476],[127.05115283,37.90068133],[127.05125506,37.90094728],[127.05142109,37.90119238],[127.05164452,37.90140721],[127.05191678,37.90158351],[127.05222739,37.90171452],[127.05256443,37.90179519],[127.05291493,37.90182243],[127.05326544,37.90179519],[127.05360248,37.90171452],[127.05391309,37.90158351],[127.05418534,37.90140721],[127.05440878,37.90119238],[127.0545748,37.90094728],[127.05467704,37.90068133],[127.05471157,37.90040476]]]}"
동두천시,2017,보행어린이사고다발지,6395833,2018028,4125010200,41250001,경기도 동두천시1,경기도 동두천시 지행동(개림프라자 부근),4,4,0,0,4,0,37.89195985,127.052862,"{""type"":""Polygon"",""coordinates"":[[[127.05465862,37.89195985],[127.0546241,37.89168325],[127.05452186,37.89141727],[127.05435584,37.89117214],[127.0541324,37.89095728],[127.05386015,37.89078095],[127.05354953,37.89064992],[127.0532125,37.89056924],[127.05286199,37.89054199],[127.05251149,37.89056924],[127.05217445,37.89064992],[127.05186384,37.89078095],[127.05159158,37.89095728],[127.05136815,37.89117214],[127.05120212,37.89141727],[127.05109988,37.89168325],[127.05106536,37.89195985],[127.05109988,37.89223646],[127.05120212,37.89250244],[127.05136815,37.89274756],[127.05159158,37.89296242],[127.05186384,37.89313874],[127.05217445,37.89326976],[127.05251149,37.89335044],[127.05286199,37.89337769],[127.0532125,37.89335044],[127.05354953,37.89326976],[127.05386015,37.89313874],[127.0541324,37.89296242],[127.05435584,37.89274756],[127.05452186,37.89250244],[127.0546241,37.89223646],[127.05465862,37.89195985]]]}"
